"No.","Time","Source","Destination","Protocol","Length","Info"
"345","112.226747891","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=13040 Ack=11277 Win=65535 Len=0"
"346","112.229507865","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"347","112.229578493","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=13040 Ack=11390 Win=65535 Len=0"
"348","112.261938555","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"349","112.262302030","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=11390 Ack=13239 Win=65535 Len=0"
"350","114.285358297","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"351","114.285742052","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=11390 Ack=13372 Win=65535 Len=0"
"352","114.363973785","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"353","114.409223099","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=13372 Ack=11503 Win=65535 Len=0"
"354","116.282502328","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"355","116.282890608","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=11503 Ack=13571 Win=65535 Len=0"
"356","116.360718257","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"357","116.360761464","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=13571 Ack=11616 Win=65535 Len=0"
"361","118.300824461","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"362","118.301170363","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=11616 Ack=13738 Win=65535 Len=0"
"363","118.380835266","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"364","118.380868750","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=13738 Ack=11729 Win=65535 Len=0"
"365","120.297348186","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"366","120.297746162","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=11729 Ack=13871 Win=65535 Len=0"
"367","120.383663841","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"368","120.383692261","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=13871 Ack=11842 Win=65535 Len=0"
"369","120.632051104","149.154.167.99","10.0.2.15","TLSv1.2","766","Application Data"
"370","120.632158384","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=13871 Ack=12552 Win=65535 Len=0"
"371","120.688337396","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"372","120.688843800","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=12552 Ack=14070 Win=65535 Len=0"
"373","120.689644775","10.0.2.15","149.154.167.99","TLSv1.2","173","Application Data"
"374","120.689981414","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=12552 Ack=14187 Win=65535 Len=0"
"381","120.784221814","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"382","120.784257815","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=14187 Ack=12665 Win=65535 Len=0"
"383","120.804782805","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"384","120.805051678","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=12665 Ack=14386 Win=65535 Len=0"
"385","120.878485187","149.154.167.99","10.0.2.15","TLSv1.2","235","Application Data"
"386","120.920470735","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"387","120.920826878","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=12844 Ack=14569 Win=65535 Len=0"
"388","122.298582107","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"389","122.298992230","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=12844 Ack=14718 Win=65535 Len=0"
"390","122.375656858","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"391","122.417634044","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=14718 Ack=12957 Win=65535 Len=0"
"392","124.293608257","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"393","124.293975279","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=12957 Ack=14851 Win=65535 Len=0"
"394","124.375881162","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"395","124.375911743","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=14851 Ack=13070 Win=65535 Len=0"
"396","126.333378781","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"397","126.333908360","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=13070 Ack=15034 Win=65535 Len=0"
"398","126.412212451","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"399","126.412261230","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=15034 Ack=13183 Win=65535 Len=0"
"412","128.310146815","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"413","128.310473989","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=13183 Ack=15167 Win=65535 Len=0"
"414","128.388425430","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"415","128.388463314","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=15167 Ack=13296 Win=65535 Len=0"
"416","130.319510926","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"417","130.320777553","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=13296 Ack=15316 Win=65535 Len=0"
"418","130.405393737","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"419","130.405430464","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=15316 Ack=13409 Win=65535 Len=0"
"420","132.326781399","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"421","132.327073429","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=13409 Ack=15499 Win=65535 Len=0"
"422","132.407243324","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"423","132.407281533","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=15499 Ack=13522 Win=65535 Len=0"
"424","132.941491635","149.154.167.99","10.0.2.15","TLSv1.2","219","Application Data"
"425","132.941617321","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=15499 Ack=13685 Win=65535 Len=0"
"426","132.973064299","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"427","132.973452151","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=13685 Ack=15698 Win=65535 Len=0"
"428","134.333351520","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"429","134.333734400","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=13685 Ack=15831 Win=65535 Len=0"
"430","134.434767339","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"431","134.476766070","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=15831 Ack=13798 Win=65535 Len=0"
"432","136.324015949","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"433","136.324274990","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=13798 Ack=15964 Win=65535 Len=0"
"434","136.402439672","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"435","136.402526426","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=15964 Ack=13911 Win=65535 Len=0"
"436","138.343800173","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"437","138.344051995","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=13911 Ack=16113 Win=65535 Len=0"
"438","138.434644736","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"439","138.434677824","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=16113 Ack=14024 Win=65535 Len=0"
"440","140.347649116","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"441","140.348026546","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=14024 Ack=16280 Win=65535 Len=0"
"442","140.446827152","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"443","140.446935559","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=16280 Ack=14137 Win=65535 Len=0"
"444","142.340319840","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"445","142.340652184","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=14137 Ack=16413 Win=65535 Len=0"
"446","142.418347442","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"447","142.418387327","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=16413 Ack=14250 Win=65535 Len=0"
"448","144.380884465","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"449","144.381286441","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=14250 Ack=16612 Win=65535 Len=0"
"450","144.459686662","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"451","144.459724979","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=16612 Ack=14363 Win=65535 Len=0"
"452","146.350188658","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"453","146.350500013","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=14363 Ack=16795 Win=65535 Len=0"
"454","146.429026726","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"455","146.429092955","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=16795 Ack=14476 Win=65535 Len=0"
"456","148.350720170","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"457","148.351056231","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=14476 Ack=16928 Win=65535 Len=0"
"458","148.507407705","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"459","148.507445051","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=16928 Ack=14589 Win=65535 Len=0"
