"No.","Time","Source","Destination","Protocol","Length","Info"
"198","40.207935490","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=3875 Ack=3002 Win=65535 Len=0"
"199","42.105531668","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"200","42.105971344","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=3002 Ack=4042 Win=65535 Len=0"
"201","42.191346382","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"202","42.191394667","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=4042 Ack=3115 Win=65535 Len=0"
"203","44.094872954","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"204","44.095790567","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=3115 Ack=4225 Win=65535 Len=0"
"205","44.174070422","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"206","44.174159748","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=4225 Ack=3228 Win=65535 Len=0"
"207","46.116535794","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"208","46.116944702","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=3228 Ack=4358 Win=65535 Len=0"
"209","46.232525683","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"210","46.232623566","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=4358 Ack=3341 Win=65535 Len=0"
"211","48.102445318","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"212","48.102880257","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=3341 Ack=4491 Win=65535 Len=0"
"213","48.195276194","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"214","48.195317051","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=4491 Ack=3454 Win=65535 Len=0"
"215","50.108931627","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"216","50.109748716","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=3454 Ack=4640 Win=65535 Len=0"
"217","50.189776515","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"218","50.189987245","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=4640 Ack=3567 Win=65535 Len=0"
"225","52.132560109","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"226","52.133007532","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=3567 Ack=4807 Win=65535 Len=0"
"227","52.225299027","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"228","52.225408845","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=4807 Ack=3680 Win=65535 Len=0"
"229","54.113831158","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"230","54.114211910","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=3680 Ack=4940 Win=65535 Len=0"
"231","54.195849665","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"232","54.195951379","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=4940 Ack=3793 Win=65535 Len=0"
"233","56.121280734","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"234","56.122020361","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=3793 Ack=5073 Win=65535 Len=0"
"235","56.218534326","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"236","56.218622507","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=5073 Ack=3906 Win=65535 Len=0"
"237","58.140289937","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"238","58.140733084","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=3906 Ack=5240 Win=65535 Len=0"
"239","58.275344425","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"240","58.275447395","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=5240 Ack=4019 Win=65535 Len=0"
"241","60.134475804","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"242","60.136442151","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=4019 Ack=5407 Win=65535 Len=0"
"243","60.216966794","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"244","60.217163344","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=5407 Ack=4132 Win=65535 Len=0"
"245","60.565373215","149.154.167.99","10.0.2.15","TLSv1.2","734","Application Data"
"246","60.565476635","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=5407 Ack=4810 Win=65535 Len=0"
"247","60.595101260","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"248","60.595383764","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=4810 Ack=5556 Win=65535 Len=0"
"249","60.596548319","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"250","60.596778238","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=4810 Ack=5705 Win=65535 Len=0"
"251","60.723954226","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"252","60.742655967","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"253","60.742998709","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=4923 Ack=5904 Win=65535 Len=0"
"260","62.132914150","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"261","62.133873650","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=4923 Ack=6053 Win=65535 Len=0"
"262","62.218177363","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"263","62.259406406","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=6053 Ack=5036 Win=65535 Len=0"
"264","64.128318050","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"265","64.128773413","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=5036 Ack=6252 Win=65535 Len=0"
"266","64.211958274","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"267","64.212062091","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=6252 Ack=5149 Win=65535 Len=0"
"268","66.130048593","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"269","66.130468029","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=5149 Ack=6451 Win=65535 Len=0"
"270","66.212001578","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"271","66.212055970","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=6451 Ack=5262 Win=65535 Len=0"
"272","68.158168152","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"273","68.158611511","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=5262 Ack=6650 Win=65535 Len=0"
"274","68.247781415","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"275","68.247817248","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=6650 Ack=5375 Win=65535 Len=0"
"276","70.148624681","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"277","70.149207903","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=5375 Ack=6799 Win=65535 Len=0"
"278","70.292394788","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"279","70.292456946","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=6799 Ack=5488 Win=65535 Len=0"
"280","72.148962853","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"281","72.149263783","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=5488 Ack=6966 Win=65535 Len=0"
"282","72.231097087","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"283","72.231145937","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=6966 Ack=5601 Win=65535 Len=0"
"284","74.169492540","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
