"No.","Time","Source","Destination","Protocol","Length","Info"
"181","67.616802803","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=5974 Ack=7429 Win=65535 Len=0"
"182","68.200056158","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"183","68.200372439","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=5974 Ack=7612 Win=65535 Len=0"
"184","68.279423775","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"185","68.321406402","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=7612 Ack=6087 Win=65535 Len=0"
"186","70.197508189","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"187","70.197766456","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=6087 Ack=7811 Win=65535 Len=0"
"188","70.277687340","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"189","70.277741270","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=7811 Ack=6200 Win=65535 Len=0"
"190","72.211841587","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"191","72.212175723","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=6200 Ack=7944 Win=65535 Len=0"
"192","72.289820216","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"193","72.289866875","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=7944 Ack=6313 Win=65535 Len=0"
